Date,Price,Open,High,Low,Vol.,Change %
8/7/2025,"3,388.81","3,370.33","3,397.54","3,365.30",,0.55%
8/6/2025,"3,370.24","3,379.69","3,385.47","3,358.26",,-0.33%
8/5/2025,"3,381.27","3,373.38","3,390.62","3,349.89",,0.23%
8/4/2025,"3,373.37","3,365.10","3,385.56","3,345.00",,0.33%
8/3/2025,"3,362.13","3,364.30","3,364.41","3,354.62",,-0.02%
8/1/2025,"3,362.88","3,290.83","3,363.55","3,281.55",,2.21%
7/31/2025,"3,290.32","3,275.91","3,314.98","3,273.77",,0.46%
7/30/2025,"3,275.25","3,324.01","3,334.21","3,268.15",,-1.55%
7/29/2025,"3,326.84","3,316.54","3,334.21","3,307.95",,0.37%
7/28/2025,"3,314.64","3,335.00","3,345.56","3,301.66",,-0.68%
7/25/2025,"3,337.18","3,369.29","3,373.73","3,325.05",,-0.92%
7/24/2025,"3,368.15","3,387.79","3,393.47","3,351.40",,-0.58%
7/23/2025,"3,387.78","3,431.26","3,439.09","3,381.45",,-1.27%
7/22/2025,"3,431.50","3,395.81","3,433.56","3,383.29",,1.05%
7/21/2025,"3,395.80","3,348.62","3,401.85","3,344.48",,1.36%
7/18/2025,"3,350.40","3,338.76","3,361.41","3,331.75",,0.34%
7/17/2025,"3,338.95","3,346.59","3,352.50","3,309.90",,-0.23%
7/16/2025,"3,346.58","3,322.63","3,377.50","3,319.69",,0.72%
7/15/2025,"3,322.63","3,343.80","3,366.58","3,320.27",,-0.63%
7/14/2025,"3,343.80","3,355.91","3,374.94","3,341.10",,-0.36%
7/11/2025,"3,355.91","3,325.63","3,368.89","3,321.37",,0.99%
7/10/2025,"3,323.07","3,313.70","3,330.47","3,310.23",,0.28%
7/9/2025,"3,313.72","3,298.73","3,317.05","3,282.80",,0.39%
7/8/2025,"3,300.70","3,335.99","3,345.94","3,287.17",,-1.05%
7/7/2025,"3,335.61","3,335.95","3,343.29","3,296.41",,-0.03%
